Name,Nationality,"Launch 
Mission","Landin
Mission",Launched,Landed,Duration,,,,
,,,,,,Days,hh:mm,,,
Aleksandr Aleksandrov,Soviet,Soyuz T-9,Soyuz T-9,,,,,,,
Leonid Kizim,Soviet,Soyuz T-10,Soyuz T-11,,,,,,,
Vladimir Solovyov,Soviet,Soyuz T-10,Soyuz T-11,,,,,,,
Oleg Atkov,Soviet,Soyuz T-10,Soyuz T-11,,,,,,,
Yuri Malyshev,Soviet,Soyuz T-11,Soyuz T-10,,,,,,,
Gennadi Strekalov,Soviet,Soyuz T-11,Soyuz T-10,,,,,,,
Rakesh Sharma,Indian,Soyuz T-11,Soyuz T-10,,,,,,,
Vladimir Dzhanibekov,Soviet,Soyuz T-12,Soyuz T-12,,,,,,,
Svetlana Savitskaya,Soviet,Soyuz T-12,Soyuz T-12,,,,,,,
Igor Volk,Soviet,Soyuz T-12,Soyuz T-12,,,,,,,
Vladimir Dzhanibekov,Soviet,Soyuz T-13,Soyuz T-13,,,,,,,
Viktor Savinykh,Soviet,Soyuz T-13,Soyuz T-14,,,,,,,
Vladimir Vasyutin,Soviet,Soyuz T-14,Soyuz T-14,,,,,,,
Georgi Grechko,Soviet,Soyuz T-14,Soyuz T-13,,,,,,,
Alexander Volkov,Soviet,Soyuz T-14,Soyuz T-14,,,,,,,
Leonid Kizim,Soviet,Soyuz T-15,Soyuz T-15,,,,,,,
Vladimir Solovyov,Soviet,Soyuz T-15,Soyuz T-15,,,,,,,
Yuri Romanenko,Soviet,Soyuz TM-2,Soyuz TM-3,,,,,,,
Aleksandr Laveykin,Soviet,Soyuz TM-2,Soyuz TM-2,,,,,,,
Aleksandr Viktorenko,Soviet,Soyuz TM-3,Soyuz TM-2,,,,,,,
Aleksandr Pavlovich Aleksandrov,Soviet,Soyuz TM-3,Soyuz TM-3,,,,,,,
Muhammed Faris,Syrian,Soyuz TM-3,Soyuz TM-2,,,,,,,
Vladimir Titov,Soviet,Soyuz TM-4,Soyuz TM-6,,,,,,,
Musa Manarov,Soviet,Soyuz TM-4,Soyuz TM-6,,,,,,,
Anatoli Levchenko,Soviet,Soyuz TM-4,Soyuz TM-3,,,,,,,
Anatoly Solovyev,Soviet,Soyuz TM-5,Soyuz TM-4,,,,,,,
Viktor Savinykh,Soviet,Soyuz TM-5,Soyuz TM-4,,,,,,,
Aleksandr Aleksandrov,Bulgarian,Soyuz TM-5,Soyuz TM-4,,,,,,,
Vladimir Lyakhov,Soviet,Soyuz TM-6,Soyuz TM-5,,,,,,,
Valeri Polyakov,Soviet,Soyuz TM-6,Soyuz TM-7,,,,,,,
Abdul Mohmand,Afgan,Soyuz TM-6,Soyuz TM-5,,,,,,,
Alexander Volkov,Soviet,Soyuz TM-7,Soyuz TM-7,,,,,,,
Sergei Krikalev,Soviet,Soyuz TM-7,Soyuz TM-7,,,,,,,
Jean-Loup Chrétien,French,Soyuz TM-7,Soyuz TM-6,,,,,,,
Aleksandr Viktorenko,Soviet,Soyuz TM-8,Soyuz TM-8,,,,,,,
Aleksandr Serebrov,Soviet,Soyuz TM-8,Soyuz TM-8,,,,,,,
Anatoly Solovyev,Soviet,Soyuz TM-9,Soyuz TM-9,,,,,,,
Aleksandr Balandin,Soviet,Soyuz TM-9,Soyuz TM-9,,,,,,,
Gennady Manakov,Soviet,Soyuz TM-10,Soyuz TM-10,,,,,,,
Gennady Strekalov,Soviet,Soyuz TM-10,Soyuz TM-10,,,,,,,
Viktor Afanasyev,Soviet,Soyuz TM-11,Soyuz TM-11,,,,,,,
Musa Manarov,Soviet,Soyuz TM-11,Soyuz TM-11,,,,,,,
Toyohiro Akiyama,Japanese,Soyuz TM-11,Soyuz TM-10,,,,,,,
Anatoly Artsebarsky,Soviet,Soyuz TM-12,Soyuz TM-12,,,,,,,
Sergei Krikalev,Soviet,Soyuz TM-12,Soyuz TM-13,,,,,,,
Helen Sharman,UK,Soyuz TM-12,Soyuz TM-11,,,,,,,
Alexander Volkov,Soviet,Soyuz TM-13,Soyuz TM-13,,,,,,,
Toktar Aubakirov,Kazakh,Soyuz TM-13,Soyuz TM-12,,,,,,,
Franz Viehböck,Austrian,Soyuz TM-13,Soyuz TM-12,,,,,,,
Yang Liwei,Chinese,Shenzhou 5,Shenzhou 5,,,,,,,
Fei Junlong,Chinese,Shenzhou 6,Shenzhou 6,,,,,,,
Nie Haisheng,Chinese,Shenzhou 6,Shenzhou 6,,,,,,,
Zhai Zhigang,Chinese,Shenzhou 7,Shenzhou 7,,,,,,,
Liu Boming,Chinese,Shenzhou 7,Shenzhou 7,,,,,,,
Jing Haipeng,Chinese,Shenzhou 7,Shenzhou 7,,,,,,,
Jing Haipeng,Chinese,Shenzhou 9,Shenzhou 9,,,,,,,
Liu Wang,Chinese,Shenzhou 9,Shenzhou 9,,,,,,,
Liu Yang,Chinese,Shenzhou 9,Shenzhou 9,,,,,,,
Nie Haisheng,Chinese,Shenzhou 10,Shenzhou 10,,,,,,,
Zhang Xiaoguang,Chinese,Shenzhou 10,Shenzhou 10,,,,,,,
Wang Yaping,Chinese,Shenzhou 10,Shenzhou 10,,,,,,,
Jing Haipeng,Chinese,Shenzhou 11,Shenzhou 11,,,,,,,
Chen Dong,Chinese,Shenzhou 11,Shenzhou 11,,,,,,,
Nie Haisheng,Chinese,Shenzhou 12,Shenzhou 12,,,,,,,
Liu Boming,Chinese,Shenzhou 12,Shenzhou 12,,,,,,,
Tang Hongbo,Chinese,Shenzhou 12,Shenzhou 12,,,,,,,
Aleksandr Viktorenko,Russian,Soyuz TM-14,Soyuz TM-14,,,,,,,
Aleksandr Kaleri,Russian,Soyuz TM-14,Soyuz TM-14,,,,,,,
Klaus-Dietrich Flade,German,Soyuz TM-14,Soyuz TM-13,,,,,,,
Anatoly Solovyev,Russian,Soyuz TM-15,Soyuz TM-15,,,,,,,
Sergei Avdeyev,Russian,Soyuz TM-15,Soyuz TM-15,,,,,,,
Michel Tognini,French,Soyuz TM-15,Soyuz TM-14,,,,,,,
Gennadi Manakov,Russian,Soyuz TM-16,Soyuz TM-16,,,,,,,
Alexander Poleshchuk,Russian,Soyuz TM-16,Soyuz TM-16,,,,,,,
Vasili Tsibliyev,Russian,Soyuz TM-17,Soyuz TM-17,,,,,,,
Aleksandr Serebrov,Russian,Soyuz TM-17,Soyuz TM-17,,,,,,,
Jean-Pierre Haigneré,French,Soyuz TM-17,Soyuz TM-16,,,,,,,
Viktor Afanasyev,Russian,Soyuz TM-18,Soyuz TM-18,,,,,,,
Yury Usachov,Russian,Soyuz TM-18,Soyuz TM-18,,,,,,,
Valeri Polyakov,Russian,Soyuz TM-18,Soyuz TM-20,,,,,,,
Yuri Malenchenko,Russian,Soyuz TM-19,Soyuz TM-19,,,,,,,
Talgat Musabayev,Kazakh,Soyuz TM-19,Soyuz TM-19,,,,,,,
Aleksandr Viktorenko,Russian,Soyuz TM-20,Soyuz TM-20,,,,,,,
Yelena Kondakova,Russian,Soyuz TM-20,Soyuz TM-20,,,,,,,
Ulf Merbold,German,Soyuz TM-20,Soyuz TM-19,,,,,,,
Vladimir Dezhurov,Russian,Soyuz TM-21,STS-71,,,,,,,
Gennady Strekalov,Russian,Soyuz TM-21,STS-71,,,,,,,
Norman Thagard,US,Soyuz TM-21,STS-71,,,,,,,
Yuri Gidzenko,Russian,Soyuz TM-22,Soyuz TM-22,,,,,,,
Sergei Avdeyev,Russian,Soyuz TM-22,Soyuz TM-22,,,,,,,
Thomas Reiter,German,Soyuz TM-22,Soyuz TM-22,,,,,,,
